dataset_source,scale,engine,approach,schema,collection,repeat,n_queries,mean_latency_ms,p95_latency_ms,throughput_qps,cpu_percent,storage_mb,ciphertext_expansion_factor,recovery_accuracy,recovery_accuracy_filtered,linkage_recovery_accuracy,n_unique_tokens,decoy_target_ratio
excel,1000,mongo,D,multi,lab_orders,0,5000,1.612575299970922,2.5772050006708014,599.4066329880576,30.1,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,multi,lab_orders,1,5000,1.622160680005618,2.6097200008734944,595.7544654208731,29.9,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,multi,lab_orders,2,5000,1.6093448400264605,2.5901100007104105,600.6939841625828,28.9,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,multi,billing,0,5000,3.0652484999969603,3.712450000966783,319.3102367554531,29.5,0.3544216156005859,4.116139464823675,1.0,1.0,,4,0.75
excel,1000,mongo,D,multi,billing,1,5000,3.0582900000132214,3.7483250005607274,320.0613227252365,30.2,0.3544216156005859,4.116139464823675,1.0,1.0,,4,0.75
excel,1000,mongo,D,multi,billing,2,5000,3.050456860018312,3.698150000491296,320.81008807596726,29.8,0.3544216156005859,4.116139464823675,1.0,1.0,,4,0.75
excel,1000,mongo,D,multi,patients,0,5000,4.132969859948207,5.022480000479845,237.5284973626968,29.0,0.9054794311523438,11.598773500775724,0.018,0.018,,5,1.0
excel,1000,mongo,D,multi,patients,1,5000,4.1956718399778765,5.254709997825557,233.94078835123955,31.5,0.9054794311523438,11.598773500775724,0.018,0.018,,5,1.0
excel,1000,mongo,D,multi,patients,2,5000,4.149666300015087,5.053829996722927,236.51591657746687,30.6,0.9054794311523438,11.598773500775724,0.018,0.018,,5,1.0
excel,1000,mongo,D,multi,lab_orders,0,5000,2.465379340004438,2.9709500009630574,395.6190726372657,31.1,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,D,multi,lab_orders,1,5000,2.454927299969131,2.915045000008832,397.3261160262385,30.7,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,D,multi,lab_orders,2,5000,2.4916157199906594,3.055610001865716,391.0525334576516,31.6,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,D,multi,billing,0,5000,3.245500779984286,3.86712500021531,301.8849278292378,29.0,0.4240388870239258,4.924652223994329,0.3124,0.3124,,4,1.0
excel,1000,mongo,D,multi,billing,1,5000,3.295574419998593,4.022769998300647,297.1870331971828,29.3,0.4240388870239258,4.924652223994329,0.3124,0.3124,,4,1.0
excel,1000,mongo,D,multi,billing,2,5000,3.260234440026397,3.9028399993185294,300.4704044463684,29.2,0.4240388870239258,4.924652223994329,0.3124,0.3124,,4,1.0
excel,1000,mongo,D,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0,
excel,1000,couchbase,A,single,lab_orders,0,5000,2.408252579989494,3.453754999281955,413.1639829256077,33.4,18.47195529937744,1.0,1.0,,,5000,
excel,1000,couchbase,A,single,lab_orders,1,5000,2.3259662199940068,3.2040799998867446,427.5653757934869,34.5,18.47195529937744,1.0,1.0,,,5000,
